gene,ensg,condition,top_disease,overall_status,kd_ok,ontarget_significant,effect_size,n_downstream,program_contrast,program_adj_p,n_program_contrasts_sig,disease_OR,disease_FDR,n_disease_clusters,effect_term,program_term,disease_term,novelty_bonus,chain_score,effect_status,program_status,disease_status
ITK,ENSG00000113263,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-2.7816,3392.0,Th2_vs_Th1 (Ota 2021),2.125e-81,1,20.424,4.971e-05,1,1.3301,20.0,6.504,0.3,36.1844,supported,supported,supported
ZBTB25,ENSG00000089775,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-10.4949,20.0,Th2_vs_Th1 (Ota 2021),2.699e-36,1,20.424,4.971e-05,2,2.4419,20.0,6.504,0.25,36.1823,flagged,supported,supported
CHD7,ENSG00000171316,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.6679,2277.0,Th2_vs_Th1 (Ota 2021),3.099e-49,1,20.424,4.971e-05,3,2.5649,20.0,6.504,0.2,34.8827,supported,supported,supported
TRAT1,ENSG00000163519,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.9348,2.0,Th2_vs_Th1 (Ota 2021),2.265e-61,1,3.0405,5.05e-06,1,2.5649,20.0,4.2527,0.3,34.8629,supported,supported,supported
CRIM1,ENSG00000150938,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.2948,8.0,Th2_vs_Th1 (Ota 2021),3.171e-21,1,3.0405,5.05e-06,1,2.5649,20.0,4.2527,0.3,34.8629,supported,supported,supported
IGSF9B,ENSG00000080854,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.6714,0.0,Th2_vs_Th1 (Ota 2021),7.015e-72,2,3.0405,5.05e-06,1,2.4571,20.0,4.2527,0.3,34.7227,supported,supported,supported
SLAMF1,ENSG00000117090,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-18.5679,7.0,Th2_vs_Th1 (Ota 2021),7.701e-156,2,4.8979,0.0005224,1,2.5649,20.0,3.9332,0.3,34.4475,supported,supported,supported
FUT8,ENSG00000033170,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.8422,0.0,Th2_vs_Th1 (Ota 2021),1.399e-25,1,3.0405,5.05e-06,1,2.0595,20.0,4.2527,0.3,34.2058,supported,supported,supported
GZMB,ENSG00000100453,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.3457,495.0,Th2_vs_Th1 (Ota 2021),1.776e-28,1,3.0405,5.05e-06,1,1.9941,20.0,4.2527,0.3,34.1208,supported,supported,supported
ANXA4,ENSG00000196975,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.4267,0.0,Th2_vs_Th1 (Ota 2021),5.198e-24,1,2.5487,0.0003376,1,2.5649,20.0,3.0856,0.3,33.3457,supported,supported,supported
